,,,,,
,2018M2,126.35,,2Q18,130.86
,2018M3,126.12,,3Q18,129.69
,2018M4,128.08,,4Q18,123.39
,2018M5,132.84,,,
,2018M6,131.65,,,
,2018M7,129.84,,,
,2018M8,127.50,,,
,2018M9,131.72,,,
,2018M10,132.82,,,
,2018M11,121.45,,,
,2018M12,115.90,,,
,2019M1,117.02,,1Q19,118.38
,2019M2,118.74,,2Q19,119.10
,2019M3,119.36,,3Q19,114.50
,2019M4,122.78,,4Q19,116.13
,2019M5,119.64,,,
,2019M6,114.87,,,
,2019M7,117.38,,,
,2019M8,112.04,,,
,2019M9,114.07,,,
,2019M10,112.65,,,
,2019M11,116.43,,,
,2019M12,119.30,,,
,2020M1,118.81,,1Q20,107.37
,2020M2,110.14,,2Q20,92.22
,2020M3,93.17,,3Q20,106.63
,2020M4,85.05,,4Q20,117.24
,2020M5,91.72,,,
,2020M6,99.89,,,
,2020M7,102.89,,,
,2020M8,108.68,,,
,2020M9,108.33,,,
,2020M10,111.25,,,
,2020M11,115.23,,,
,2020M12,125.25,,,
,2021M1,136.96,,1Q21,138.65
,2021M2,137.98,,2Q21,153.73
,2021M3,141.00,,3Q21,166.53
,2021M4,145.24,,4Q21,187.09
,2021M5,155.19,,,
,2021M6,160.76,,,
,2021M7,164.83,,,
,2021M8,163.18,,,
,2021M9,171.57,,,
,2021M10,191.50,,,
,2021M11,183.09,,,
,2021M12,186.69,,,
,2022M1,192.25,,1Q22,211.87
,2022M2,203.51,,2Q22,228.74
,2022M3,239.86,,3Q22,230.46
,2022M4,228.27,,4Q22,192.60
,2022M5,226.34,,,
,2022M6,231.60,,,
,2022M7,229.45,,,
,2022M8,241.92,,,
,2022M9,220.02,,,
,2022M10,191.37,,,
,2022M11,192.08,,,
,2022M12,194.35,,,
,2023M1,182.64,,1Q23,175.17
,2023M2,174.56,,2Q23,160.66
,2023M3,168.30,,3Q23,162.57
,2023M4,170.76,,,
,2023M5,157.13,,,
,2023M6,154.07,,,
,2023M7,157.91,,,
,2023M8,161.27,,,
,2023M9,168.54,,,
,2023M10,167.84,,,
,2023M11,164.45,,,
